iter	Logloss
0	0.5387182963
1	0.4255669381
2	0.3535143467
3	0.306011001
4	0.2759299397
5	0.2538029519
6	0.2392769008
7	0.2278358819
8	0.2191687603
9	0.2128363354
10	0.2070483053
11	0.2030237165
12	0.1987165141
13	0.1960953557
14	0.1930469906
15	0.1907135866
16	0.1888913931
17	0.1875030227
18	0.1859498464
19	0.1849136388
20	0.1836420564
21	0.1820901801
22	0.1810721057
23	0.1803756572
24	0.179342281
25	0.17862965
26	0.1779281712
27	0.1768115054
28	0.1758687352
29	0.17525509
30	0.174796918
31	0.174298285
32	0.1737089415
33	0.1731211362
34	0.1724728562
35	0.171555203
36	0.1712777091
37	0.1705104239
38	0.170012954
39	0.1695333407
40	0.1691930448
41	0.1687274723
42	0.1682074201
43	0.1678824652
44	0.1673903916
45	0.167027102
46	0.1667082292
47	0.1664120925
48	0.1659159766
49	0.1655338367
50	0.165165533
51	0.164962242
52	0.1646341957
53	0.1643916492
54	0.1641705133
55	0.1638438782
56	0.1636370709
57	0.1632121041
58	0.1629700429
59	0.1628036703
60	0.1625306974
61	0.1621475726
62	0.1618605149
63	0.1617516336
64	0.1615204718
65	0.1613595801
66	0.1611561695
67	0.1609845247
68	0.1607575546
69	0.1606781273
70	0.1604842519
71	0.1603513224
72	0.1602125089
73	0.1600877382
74	0.1599660233
75	0.1598433891
76	0.1597272598
77	0.1594654122
78	0.1592440617
79	0.1591379029
80	0.1590497888
81	0.1589600413
82	0.1588760759
83	0.1587555978
84	0.1585940671
85	0.1583682079
86	0.1582819185
87	0.158132399
88	0.158033065
89	0.1579278872
90	0.1577952676
91	0.1576591032
92	0.1574646995
93	0.1573719568
94	0.1572634846
95	0.1571871747
96	0.1570159814
97	0.1569014679
98	0.156819944
99	0.156759491
100	0.1566769023
101	0.156553539
102	0.1565021717
103	0.1564064226
104	0.1563186429
105	0.1562490685
106	0.1561954307
107	0.1561186809
108	0.1560513371
109	0.1559590533
110	0.1558842379
111	0.1558163594
112	0.1557357205
113	0.1556353784
114	0.1554772346
115	0.1552747077
116	0.1551791503
117	0.1551171011
118	0.1550074505
119	0.1549646994
120	0.1548729688
121	0.1547811183
122	0.1546808005
123	0.1546022922
124	0.1545309448
125	0.1544341275
126	0.1543644409
127	0.1542163062
128	0.1541150076
129	0.154032257
130	0.1539348533
131	0.1538725924
132	0.1538119046
133	0.1537130905
134	0.1536575791
135	0.1535511815
136	0.1534874016
137	0.1534064183
138	0.1533591112
139	0.153296551
140	0.1532268896
141	0.1531428588
142	0.1530809189
143	0.1529778586
144	0.1529450977
145	0.1528766127
146	0.1527797755
147	0.1527179571
148	0.1526226814
149	0.1525674356
150	0.1525227856
151	0.1524674989
152	0.1523798512
153	0.152314809
154	0.1522468951
155	0.1521279006
156	0.152080726
157	0.1519981214
158	0.1519357967
159	0.1518710952
160	0.1518151147
161	0.1517143606
162	0.151674203
163	0.1516227078
164	0.1515764632
165	0.1515290969
166	0.1514579047
167	0.1513815414
168	0.1512830626
169	0.1512183596
170	0.151152386
171	0.1510940192
172	0.1510658051
173	0.1510261401
174	0.1509611623
175	0.1509172345
176	0.1508760413
177	0.1508330497
178	0.1507857816
179	0.1507369459
180	0.1507033249
181	0.1506635803
182	0.1506300234
183	0.1505670236
184	0.1505223915
185	0.1504469488
186	0.1503813221
187	0.1503446925
188	0.1503038775
189	0.1502621752
190	0.1502207882
191	0.1501936
192	0.1501683641
193	0.1501201136
194	0.1500945773
195	0.1500395496
196	0.1499907516
197	0.149950232
198	0.1499144944
199	0.1498721301
200	0.1498159493
201	0.1497371865
202	0.1497041277
203	0.1496260207
204	0.1495856995
205	0.1495397616
206	0.1495007625
207	0.1494686338
208	0.1494081599
209	0.1493633933
210	0.1492939609
211	0.1492548536
212	0.1492071121
213	0.1491756603
214	0.1491275341
215	0.149096151
216	0.1490632413
217	0.1490204445
218	0.1489674594
219	0.1489022002
220	0.1488723843
221	0.1488294095
222	0.1487887811
223	0.1487623457
224	0.1487353683
225	0.1487031628
226	0.1486577056
227	0.1486339768
228	0.1486085222
229	0.148559031
230	0.1485124698
231	0.1484728259
232	0.1484280914
233	0.1483807595
234	0.148354786
235	0.1483209409
236	0.1482870025
237	0.1482517455
238	0.1482200799
239	0.148181258
240	0.1481376941
241	0.1481094445
242	0.1480811759
243	0.1480348143
244	0.1480056208
245	0.1479705906
246	0.1479367347
247	0.147896169
248	0.1478728256
249	0.1477986467
250	0.1477740291
251	0.1477147376
252	0.1476814448
253	0.1476477834
254	0.1476036481
255	0.1475737304
256	0.1475565929
257	0.1475281797
258	0.1474931741
259	0.1474621262
260	0.1474209432
261	0.1473735986
262	0.1473156984
263	0.1472774934
264	0.147240053
265	0.1471955694
266	0.1471646426
267	0.1471357111
268	0.1470956182
269	0.1470604788
270	0.1470307644
271	0.1469946443
272	0.146956097
273	0.146924042
274	0.14689533
275	0.1468637234
276	0.1468064215
277	0.1467563401
278	0.1467340285
279	0.1466875158
280	0.1466613209
281	0.1466369683
282	0.1466095734
283	0.1465723088
284	0.1465467915
285	0.1465099175
286	0.1464775357
287	0.1464551072
288	0.1464301994
289	0.1463846384
290	0.1463510453
291	0.1463053435
292	0.1462863501
293	0.1462216006
294	0.1462029063
295	0.1461779116
296	0.1461476468
297	0.1461228888
298	0.1460916391
299	0.1460690175
300	0.1460362107
301	0.1460047131
302	0.1459739269
303	0.1459305227
304	0.1458924581
305	0.1458520235
306	0.1458236484
307	0.145775607
308	0.1457390673
309	0.1456935244
310	0.1456553715
311	0.1456401622
312	0.1456184329
313	0.1455968865
314	0.1455699555
315	0.145540804
316	0.1455105949
317	0.145484506
318	0.1454550232
319	0.1454213293
320	0.1453695223
321	0.1453442083
322	0.1453225144
323	0.1452875574
324	0.1452610917
325	0.1452338124
326	0.1452024096
327	0.145186199
328	0.1451601674
329	0.1451276784
330	0.1451001209
331	0.1450722921
332	0.1450286172
333	0.1449921058
334	0.1449582664
335	0.1449275186
336	0.1448946957
337	0.1448810035
338	0.1448528032
339	0.1448252117
340	0.1447961949
341	0.1447712848
342	0.144751502
343	0.144725429
344	0.1446573131
345	0.1446349448
346	0.1446076832
347	0.1445952648
348	0.1445681602
349	0.1445279788
350	0.1444631772
351	0.1444411122
352	0.1444042566
353	0.1443777426
354	0.1443662049
355	0.1443271157
356	0.1443094338
357	0.1442899127
358	0.144271531
359	0.1442385597
360	0.1442102384
361	0.1441827884
362	0.1441732736
363	0.1441484528
364	0.1440943444
365	0.1440735737
366	0.1440468428
367	0.1440269612
368	0.1439972684
369	0.1439609473
370	0.1439415955
371	0.1439078567
372	0.1438946435
373	0.1438718546
374	0.1438436594
375	0.1438245809
376	0.1437927843
377	0.1437671849
378	0.1437373377
379	0.1437199393
380	0.143699555
381	0.143683598
382	0.1436582236
383	0.1436195831
384	0.1435903919
385	0.1435614051
386	0.1435403832
387	0.1435107412
388	0.14348058
389	0.1434538729
390	0.1434187994
391	0.1433886926
392	0.1433745675
393	0.1433600054
394	0.1433383034
395	0.1433112131
396	0.1432841268
397	0.1432623295
398	0.1432469283
399	0.1432210914
400	0.143202679
401	0.143187654
402	0.1431613566
403	0.1431484807
404	0.1431165081
405	0.143077786
406	0.1430513622
407	0.1430140859
408	0.1429882759
409	0.1429695151
410	0.1429485236
411	0.1429146572
412	0.1428888283
413	0.1428679386
414	0.1428461523
415	0.142833668
416	0.1428078631
417	0.1427811759
418	0.14276016
419	0.142732439
420	0.1427029905
421	0.1426858212
422	0.1426608915
423	0.1426365105
424	0.1426181156
425	0.1425878584
426	0.1425560355
427	0.1425324775
428	0.1425072121
429	0.1424801313
430	0.1424351231
431	0.1424075366
432	0.1423824168
433	0.1423674413
434	0.1423387914
435	0.1423229509
436	0.142300969
437	0.1422893014
438	0.1422579076
439	0.1422260923
440	0.1422049373
441	0.1421722344
442	0.1421377647
443	0.1421125202
444	0.1420917689
445	0.1420595748
446	0.1420060104
447	0.1419760241
448	0.1419567773
449	0.141921435
450	0.141901765
451	0.1418824652
452	0.1418491264
453	0.1418044249
454	0.141790751
455	0.1417701123
456	0.1417537507
457	0.1417355018
458	0.1417127058
459	0.1416885772
460	0.1416656448
461	0.1416543964
462	0.1416289195
463	0.1416041464
464	0.1415659053
465	0.141539752
466	0.1415120766
467	0.1414988535
468	0.1414780689
469	0.1414500099
470	0.1414190017
471	0.1413987843
472	0.1413739754
473	0.1413505475
474	0.1413250729
475	0.1413021417
476	0.1412786056
477	0.1412680219
478	0.1412486676
479	0.1412302861
480	0.1412118839
481	0.1411907059
482	0.1411579865
483	0.1411328359
484	0.1411094962
485	0.1410911834
486	0.141069994
487	0.141048972
488	0.1410298129
489	0.1409993775
490	0.1409761178
491	0.1409515268
492	0.140929903
493	0.140921326
494	0.1409020516
495	0.1408785104
496	0.140844219
497	0.1408267929
498	0.1407966658
499	0.1407736088
500	0.1407534693
501	0.1407320655
502	0.1407050863
503	0.1406940415
504	0.140679246
505	0.1406581459
506	0.1406327782
507	0.140600572
508	0.1405775847
509	0.1405541028
510	0.1405353087
511	0.1405177024
512	0.1404854915
513	0.1404683725
514	0.1404462246
515	0.1404268723
516	0.1403983251
517	0.1403722929
518	0.1403508534
519	0.1403198179
520	0.1402988072
521	0.140276607
522	0.1402370996
523	0.1402090668
524	0.1401852885
525	0.1401630275
526	0.1401404379
527	0.1401185376
528	0.140101757
529	0.1400843418
530	0.1400636183
531	0.14003945
532	0.1400291436
533	0.1400054483
534	0.1399801217
535	0.1399549526
536	0.139929248
537	0.1399077404
538	0.1398887738
539	0.1398632168
540	0.1398485656
541	0.1398235583
542	0.1398011475
543	0.13977824
544	0.1397528358
545	0.1397325768
546	0.1397134941
547	0.139692705
548	0.1396793263
549	0.1396602335
550	0.1396489074
551	0.1396264291
552	0.1396117166
553	0.1395958855
554	0.139577181
555	0.1395506051
556	0.1395279157
557	0.1395198017
558	0.1395018376
559	0.1394889962
560	0.1394566419
561	0.1394374308
562	0.139413321
563	0.1393933297
564	0.1393702266
565	0.1393532005
566	0.1393283831
567	0.1393059556
568	0.1392854952
569	0.1392521908
570	0.1392337143
571	0.1392193741
572	0.1392025855
573	0.1391832566
574	0.1391576173
575	0.1391325434
576	0.1391068503
577	0.1390928659
578	0.1390791923
579	0.1390542725
580	0.1390364648
581	0.139022306
582	0.1389991282
583	0.1389681479
584	0.1389469266
585	0.1389300458
586	0.1389227318
587	0.1389037499
588	0.1388915432
589	0.1388691086
590	0.1388463929
591	0.1388229455
592	0.1388018104
593	0.1387836905
594	0.1387617476
595	0.138728028
596	0.138707772
597	0.138693226
598	0.1386678174
599	0.1386382718
